
Cantidad de observaciones con notas > 3:  51789
Positivos/Total:  0.042
Cantidad de observaciones para entrenamiento:  36252
Positivos/Total:  0.042
Variables:  ['cuat' 'SEDE' 'MATERIA' 'pa1' 'facultad' 'extranjero' 'turno' 'n_alum'
 'p_ext' 'recurso' 'p_recursa' 'pa1_prom' 'edad' 'prom_edad' 'abandona1_p']

===================
Validación cruzada con aucpr

161  rounds= 1  aucpr= 0.0416  std= 0.0007
162  rounds= 19  aucpr= 0.0793  std= 0.0049
163  rounds= 1  aucpr= 0.0416  std= 0.0007
164  rounds= 1  aucpr= 0.0416  std= 0.0007
165  rounds= 1  aucpr= 0.0416  std= 0.0007
166  rounds= 1  aucpr= 0.0416  std= 0.0007
167  rounds= 1  aucpr= 0.0416  std= 0.0007
168  rounds= 1  aucpr= 0.0416  std= 0.0007
169  rounds= 1  aucpr= 0.0416  std= 0.0007
170  rounds= 1  aucpr= 0.0416  std= 0.0007
171  rounds= 1  aucpr= 0.0416  std= 0.0007
172  rounds= 1  aucpr= 0.0416  std= 0.0007
173  rounds= 1  aucpr= 0.0416  std= 0.0007
174  rounds= 1  aucpr= 0.0416  std= 0.0007
175  rounds= 1  aucpr= 0.0416  std= 0.0007
176  rounds= 17  aucpr= 0.0781  std= 0.0011
177  rounds= 1  aucpr= 0.0416  std= 0.0007
178  rounds= 1  aucpr= 0.0416  std= 0.0007
179  rounds= 1  aucpr= 0.0416  std= 0.0007
180  rounds= 1  aucpr= 0.0416  std= 0.0007
181  rounds= 1  aucpr= 0.0416  std= 0.0007
182  rounds= 1  aucpr= 0.0416  std= 0.0007
183  rounds= 1  aucpr= 0.0416  std= 0.0007
184  rounds= 14  aucpr= 0.0786  std= 0.0072
185  rounds= 21  aucpr= 0.0996  std= 0.0054
186  rounds= 1  aucpr= 0.0416  std= 0.0007
187  rounds= 1  aucpr= 0.0416  std= 0.0007
188  rounds= 1  aucpr= 0.0416  std= 0.0007
189  rounds= 1  aucpr= 0.0416  std= 0.0007
190  rounds= 1  aucpr= 0.0416  std= 0.0007
191  rounds= 1  aucpr= 0.0416  std= 0.0007
192  rounds= 1  aucpr= 0.0416  std= 0.0007
193  rounds= 1  aucpr= 0.0416  std= 0.0007
194  rounds= 1  aucpr= 0.0416  std= 0.0007
195  rounds= 1  aucpr= 0.0416  std= 0.0007
196  rounds= 1  aucpr= 0.0416  std= 0.0007
197  rounds= 1  aucpr= 0.0416  std= 0.0007
198  rounds= 1  aucpr= 0.0416  std= 0.0007
199  rounds= 1  aucpr= 0.0416  std= 0.0007
Mejor N:  51
{'objective': 'binary:logistic', 'eval_metric': ['aucpr'], 'eta': 0.3075423728813559, 'gamma': 0.0, 'max_depth': 11, 'lambda': 1.0169491525423728, 'alpha': 0, 'scale_pos_weight': 0.05}

Modelo guardado en modelo_30_altas_aucpr.json
